loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	Fst_WC	Fit_WC	
Locus235	11.1314	-0.0273	-0.0123	-0.0229	-0.0548	-0.0312	0.0071	-0.7035	
Locus236	11.1314	-0.0445	-0.0163	-0.0264	-0.0786	-0.0509	-7e-04	-0.6085	
Locus237	11.1314	0.0164	0.0061	0.0096	0.0281	0.0187	0.043	-0.5771	
Locus238	11.1314	-0.0483	-0.0196	-0.0341	-0.0912	-0.0552	-0.0036	-0.7517	
Locus239	11.1314	0.0277	0.0102	0.0159	0.047	0.0317	0.0391	-0.4551	
Locus240	11.1314	-0.0414	-0.0163	-0.0276	-0.0763	-0.0473	0.0021	-0.7004	
Locus241	11.1314	-0.0312	-0.0137	-0.025	-0.0616	-0.0357	0.0105	-0.8108	
Locus242	11.1314	-0.0306	-0.0129	-0.0228	-0.0586	-0.035	0.0057	-0.67	
Locus243	11.1314	-0.0112	-0.0042	-0.0068	-0.0197	-0.0128	0.0229	-0.6153	
Locus244	11.1314	0.0273	0.011	0.0181	0.0487	0.0312	0.0454	-0.5819	
Locus245	11.1314	-0.0372	-0.0127	-0.0197	-0.063	-0.0426	-4e-04	-0.4608	
Locus246	11.1314	-0.036	-0.0157	-0.0286	-0.071	-0.0411	2e-04	-0.7023	
Locus247	11.1314	-0.0337	-0.0121	-0.0193	-0.0585	-0.0385	0.0058	-0.579	
Locus248	11.1314	-0.0194	-0.0086	-0.0157	-0.0382	-0.0221	0.0154	-0.6908	
Locus249	11.1314	-0.0422	-0.0184	-0.0337	-0.0836	-0.0482	0.0013	-0.8458	
Locus250	11.1314	-0.045	-0.0199	-0.037	-0.0903	-0.0515	-0.0018	-0.8638	
Locus251	11.1314	-0.0235	-0.0086	-0.0137	-0.041	-0.0269	0.0098	-0.5128	
Locus252	11.1314	-0.0318	-0.0136	-0.0244	-0.0615	-0.0363	0.0015	-0.6582	
Locus253	11.1314	5e-04	2e-04	3e-04	9e-04	6e-04	0.0185	-0.4582	
Locus254	11.1314	-0.0302	-0.0099	-0.0149	-0.05	-0.0346	0.006	-0.4966	
Locus255	11.1314	-0.0402	-0.0165	-0.0288	-0.076	-0.0459	3e-04	-0.7124	
Locus256	11.1314	-0.0433	-0.0167	-0.0279	-0.0788	-0.0495	1e-04	-0.6782	
Locus257	11.1314	-0.0237	-0.0105	-0.0192	-0.0468	-0.0271	0.0122	-0.6921	
Locus258	11.1314	-0.0221	-0.009	-0.0154	-0.0411	-0.0252	0.0107	-0.5834	
Locus259	11.1314	-0.0341	-0.0142	-0.0249	-0.0649	-0.039	0.0021	-0.6666	
Locus260	11.1314	-0.0155	-0.0054	-0.0083	-0.0262	-0.0178	0.0164	-0.5455	
Locus261	11.1314	-0.0047	-0.0017	-0.0027	-0.0081	-0.0054	0.0231	-0.4831	
Locus262	11.1314	-0.0131	-0.0057	-0.0102	-0.0253	-0.0149	0.0209	-0.742	
Locus263	11.1314	0.0151	0.0054	0.0083	0.0254	0.0173	0.0361	-0.54	
Locus264	11.1314	-0.0152	-0.0065	-0.0115	-0.0291	-0.0174	0.0201	-0.7669	
Locus265	11.1314	-0.0371	-0.0156	-0.0277	-0.0712	-0.0424	0.002	-0.7187	
Locus266	11.1314	0.0178	0.0079	0.014	0.034	0.0203	0.0454	-0.6486	
Locus267	11.1314	0.0056	0.0021	0.0033	0.0098	0.0065	0.0273	-0.4323	
Locus268	11.1314	0.0221	0.0091	0.0152	0.0401	0.0253	0.0461	-0.6819	
Locus269	11.1314	-0.0461	-0.0155	-0.0239	-0.0779	-0.0527	-7e-04	-0.5485	
Locus270	11.1314	-0.0361	-0.0152	-0.027	-0.0693	-0.0412	0.0049	-0.7573	
Locus271	11.1314	-0.0436	-0.0189	-0.0345	-0.0861	-0.0498	-7e-04	-0.8316	
Locus272	11.1314	-0.0257	-0.0109	-0.0193	-0.0492	-0.0294	0.0103	-0.6874	
Locus273	11.1314	-0.0256	-0.0088	-0.0136	-0.0432	-0.0293	0.0111	-0.5487	
