Pairwise 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

populations	actual	lower	upper
QBB2,  vs  WBWC,	0.0731	 0.0389	0.1310
QBOC,  vs  QBWC,	0.0034	-0.0230	0.0437
QBOC,  vs  WBB2,	0.1041	 0.0706	0.1503
QBOC,  vs  WBOC,	0.0080	-0.0157	0.0434
QBOC,  vs  WBWC,	0.0033	-0.0206	0.0522
QBWC,  vs  WBB2,	0.1054	 0.0736	0.1443
QBWC,  vs  WBOC,	0.0115	-0.0135	0.0437
QBWC,  vs  WBWC,	0.0036	-0.0247	0.0407
WBB2,  vs  WBOC,	0.1018	 0.0647	0.1422
WBB2,  vs  WBWC,	0.1035	 0.0719	0.1452
WBOC,  vs  WBWC,	0.0088	-0.0153	0.0431
