Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus293	 0.1462	 0.0510	0.2335
Locus294	 0.1075	 0.0125	0.2168
Locus295	-0.0129	-0.0791	0.0801
Locus296	-0.0091	-0.0480	0.0459
Locus297	 0.0340	-0.0460	0.1609
Locus298	 0.1154	 0.0420	0.2230
Locus299	 0.0509	-0.0050	0.1402
Locus300	 0.0143	-0.0306	0.0938
Locus301	-0.0056	-0.0779	0.1396
Locus302	 0.2601	 0.1254	0.3922
Locus303	-0.0140	-0.0684	0.0659
Locus304	 0.1332	 0.0482	0.2496
Locus305	 0.0528	-0.0433	0.1649
Locus306	-0.0111	-0.0645	0.0779
Locus307	 0.0206	-0.0476	0.1107
Locus308	 0.0236	-0.0365	0.0956
Locus309	 0.0194	-0.0380	0.0788
Locus310	-0.0109	-0.0819	0.0959
Locus311	-0.0050	-0.0524	0.0693
Locus312	 0.0054	-0.0649	0.1790
Locus313	 0.1117	 0.0308	0.2347
Locus314	 0.0784	-0.0355	0.2268
Locus315	 0.0596	-0.0296	0.2237
Locus316	 0.0091	-0.0657	0.1444
Locus317	 0.0573	-0.0264	0.1613
Locus318	 0.0287	-0.0189	0.1046
Locus319	 0.0411	-0.0358	0.1358
Locus320	 0.0681	-0.0293	0.2297
Locus321	 0.0780	 0.0014	0.1811
Locus322	-0.0161	-0.0587	0.0629
Locus323	 0.0308	-0.0280	0.1119
Locus324	 0.1377	 0.0272	0.2535
Locus325	 0.1129	 0.0160	0.2456
Locus326	 0.0387	-0.0448	0.1611
Locus327	 0.1134	 0.0259	0.2231
Locus328	 0.0486	-0.0302	0.1552
Locus329	-0.0106	-0.0557	0.0547
Locus330	 0.0274	-0.0361	0.1280
Locus331	 0.0810	 0.0023	0.1930
Locus332	 0.0171	-0.0553	0.1508
Locus333	-0.0124	-0.0718	0.0834
Locus334	 0.0377	-0.0321	0.1329
Locus335	 0.0792	-0.0268	0.2509
Locus336	 0.0656	-0.0482	0.1774
Locus337	 0.1627	 0.0141	0.3510
Locus338	 0.0368	-0.0402	0.1825
Locus339	 0.0178	-0.0357	0.0987
Locus340	 0.0345	-0.0609	0.1824
Locus341	 0.0023	-0.0607	0.0925
Locus342	 0.0559	-0.0021	0.1448
Locus343	 0.1047	 0.0025	0.2408
Locus344	-0.0127	-0.0485	0.0272
Locus345	 0.0405	-0.0201	0.1295
Locus346	 0.0407	-0.0221	0.1286
Locus347	 0.0064	-0.0598	0.1242
Locus348	 0.1013	 0.0070	0.2224
Locus349	 0.0130	-0.0340	0.1301
Locus350	 0.0591	-0.0168	0.1925
Locus351	 0.0386	-0.0260	0.1102
Locus352	 0.0197	-0.0317	0.0859
Locus353	 0.0567	-0.0109	0.1552
Locus354	 0.0688	-0.0357	0.2058
Locus355	-0.0017	-0.0719	0.1017
Locus356	-0.0160	-0.0540	0.0485
Locus357	 0.0280	-0.0357	0.1188
Locus358	 0.0202	-0.0448	0.1187
Locus359	 0.1881	 0.0489	0.3451
Locus360	 0.0208	-0.0544	0.1482
Locus361	-0.0083	-0.0513	0.0576
Locus362	 0.0612	-0.0243	0.1636
Locus363	 0.0675	-0.0463	0.2511
Locus364	 0.0455	-0.0264	0.1356
Locus365	 0.0143	-0.0574	0.1542
Locus366	 0.0531	-0.0409	0.1584
Locus367	 0.1063	 0.0132	0.2309
Locus368	-0.0099	-0.0588	0.0731
Locus369	 0.0456	-0.0372	0.1906
Locus370	 0.0131	-0.0313	0.0832
Locus371	 0.0073	-0.0603	0.0957
Locus372	 0.0820	-0.0056	0.2181
Locus373	-0.0071	-0.0554	0.0844
Locus374	 0.0069	-0.0420	0.0845
Locus375	 0.0425	-0.0323	0.1283
Locus376	 0.0570	-0.0174	0.1645
Locus377	 0.0256	-0.0507	0.1397
Locus378	-0.0244	-0.0626	0.0165
Locus379	 0.0135	-0.0387	0.1159
Locus380	 0.0226	-0.0604	0.1537
Locus381	 0.1063	 0.0323	0.1882
Locus382	 0.0102	-0.0644	0.1181
Locus383	 0.0796	-0.0204	0.1869
Locus384	-0.0203	-0.0608	0.0477
Locus385	 0.0652	-0.0386	0.2090
Locus386	 0.0324	-0.0398	0.1231
Locus387	 0.0227	-0.0462	0.1489
Locus388	 0.0182	-0.0470	0.1378
Locus389	 0.1325	 0.0191	0.2732
Locus390	 0.0468	-0.0146	0.1434
Locus391	 0.0166	-0.0376	0.0953
Locus392	 0.0205	-0.0613	0.1277
Locus393	 0.0091	-0.0424	0.1012
Locus394	 0.0336	-0.0241	0.1189
Locus395	-0.0042	-0.0718	0.1393
Locus396	 0.0557	-0.0294	0.1531
Locus397	-0.0093	-0.0718	0.1083
Locus398	 0.0401	-0.0391	0.1664
Locus399	 0.0272	-0.0407	0.1235
Locus400	 0.0680	-0.0038	0.1667
Locus401	 0.0151	-0.0349	0.1070
Locus402	 0.1128	 0.0445	0.1872
Locus403	-0.0078	-0.0511	0.0551
Locus404	 0.0023	-0.0524	0.0785
Locus405	 0.0450	-0.0644	0.2001
Locus406	 0.4020	 0.2551	0.5657
Locus407	 0.0218	-0.0391	0.1034
Locus408	-0.0026	-0.0547	0.0552
Locus409	 0.0786	-0.0330	0.2377
Locus410	 0.1220	-0.0089	0.2789
Locus411	 0.0058	-0.0649	0.1074
Locus412	 0.0517	-0.0281	0.1512
Locus413	 0.0027	-0.0467	0.0647
Locus414	 0.0927	 0.0153	0.2031
Locus415	 0.0340	-0.0086	0.1071
Locus416	 0.0366	-0.0401	0.1262
Locus417	 0.0133	-0.0576	0.1242
Locus418	 0.0744	-0.0086	0.1950
Locus419	 0.0710	-0.0075	0.2164
Locus420	 0.0130	-0.0723	0.1472
Locus421	 0.0274	-0.0322	0.1344
Locus422	 0.1217	 0.0228	0.2415
Locus423	 0.0403	-0.0398	0.1776
Locus424	 0.2356	 0.1050	0.4210
Locus425	 0.0736	-0.0202	0.1771
Locus426	-0.0056	-0.0455	0.0597
Locus427	 0.0618	-0.0304	0.2070
Locus428	 0.1301	 0.0433	0.2651
Locus429	 0.1016	 0.0109	0.1876
Locus430	 0.0373	-0.0492	0.1449
Locus431	 0.0065	-0.0383	0.0533
Locus432	 0.0633	-0.0208	0.1805
Locus433	 0.0155	-0.0364	0.1130
Locus434	 0.0277	-0.0502	0.1286
Locus435	 0.0631	-0.0184	0.1608
Locus436	-0.0230	-0.0715	0.0821
Locus437	 0.0005	-0.0718	0.0843
Locus438	 0.0459	-0.0362	0.1739
Locus439	 0.0217	-0.0348	0.1317
Locus440	-0.0103	-0.0649	0.0673
Locus441	-0.0060	-0.0520	0.0694
Locus442	 0.0234	-0.0418	0.2438
Locus443	 0.1005	-0.0157	0.2485
Locus444	 0.1457	 0.0421	0.2632
Locus445	 0.0258	-0.0425	0.1147
Locus446	 0.0614	-0.0205	0.1586
Locus447	-0.0019	-0.0507	0.1056
Locus448	-0.0118	-0.0549	0.0623
Locus449	 0.0267	-0.0381	0.1063
Locus450	-0.0208	-0.0671	0.0711
Locus451	 0.0113	-0.0620	0.1762
Locus452	-0.0139	-0.0558	0.0443
Locus453	 0.1338	 0.0457	0.2199
Locus454	 0.0358	-0.0313	0.1225
Locus455	 0.0043	-0.0666	0.1455
Locus456	 0.1014	 0.0388	0.1742
Locus457	 0.3033	 0.1798	0.4378
Locus458	 0.1183	 0.0107	0.2445
Locus459	 0.0255	-0.0421	0.1106
Locus460	 0.0529	-0.0324	0.1504
Locus461	-0.0092	-0.0861	0.0953
Locus462	 0.1025	 0.0085	0.2274
Locus463	 0.0036	-0.0465	0.0981
Locus464	-0.0039	-0.0610	0.1023
Locus465	 0.0259	-0.0350	0.1459
Locus466	 0.0010	-0.0463	0.1061
Locus467	 0.0462	-0.0272	0.1430
Locus468	 0.0560	-0.0491	0.1582
Locus469	 0.0601	-0.0133	0.1596
Locus470	-0.0297	-0.0607	0.0058
Locus471	-0.0102	-0.0623	0.0945
Locus472	 0.1610	 0.0341	0.3605
Locus473	 0.0105	-0.0577	0.1354
Locus474	 0.0764	-0.0108	0.1860
Locus475	 0.0063	-0.0400	0.0764
Locus476	 0.1042	 0.0176	0.2037
Locus477	 0.0635	-0.0244	0.1759
Locus478	 0.2193	 0.0898	0.3610
Locus479	 0.0307	-0.0357	0.1379
Locus480	 0.0136	-0.0604	0.1331
Locus481	 0.0153	-0.0529	0.1178
Locus482	 0.1161	-0.0135	0.2929
Locus483	-0.0163	-0.0615	0.0562
Locus484	 0.0770	-0.0350	0.1920
Locus485	 0.0725	-0.0098	0.1729
Locus486	-0.0033	-0.0508	0.0808
Locus487	-0.0019	-0.0667	0.1039
Locus488	-0.0119	-0.0694	0.0752
Locus489	 0.1026	 0.0330	0.1820
Locus490	 0.0025	-0.0648	0.1124
Locus491	 0.0315	-0.0523	0.1205
Locus492	 0.0502	-0.0009	0.1189
Locus493	 0.0471	-0.0163	0.1570
Locus494	 0.0047	-0.0681	0.1382
Locus495	 0.0645	-0.0367	0.1982
Locus496	 0.0266	-0.0319	0.1118
Locus497	 0.0105	-0.0342	0.0751
Locus498	-0.0319	-0.0772	0.0302
Locus499	 0.0105	-0.0558	0.1154
Locus500	 0.0637	-0.0340	0.2225
Locus501	-0.0101	-0.0488	0.0352
Locus502	 0.0994	-0.0162	0.2084
Locus503	 0.0528	-0.0457	0.2020
Locus504	 0.0312	-0.0752	0.2288
Locus505	 0.0710	-0.0215	0.2367
Locus506	 0.1602	 0.0366	0.2902
Locus507	 0.1010	-0.0225	0.3104
Locus508	 0.0290	-0.0306	0.1093
Locus509	 0.0691	-0.0250	0.1781
Locus510	 0.0367	-0.0361	0.1536
Locus511	-0.0086	-0.0647	0.0815
Locus512	-0.0062	-0.0646	0.0675
Locus513	 0.2477	 0.0846	0.4268
Locus514	 0.1001	 0.0135	0.1965
Locus515	-0.0258	-0.0737	0.0645
Locus516	 0.1272	-0.0048	0.3195
Locus517	 0.0090	-0.0439	0.0724
Locus518	 0.0899	 0.0019	0.2193
Locus519	 0.1004	-0.0508	0.2749
Locus520	 0.0787	-0.0025	0.2098
Locus521	-0.0267	-0.0775	0.0604
Locus522	 0.0728	 0.0066	0.1795
Locus523	 0.0127	-0.0611	0.1675
Locus524	 0.0055	-0.0409	0.0814
Locus525	-0.0065	-0.0832	0.0866
Locus526	-0.0141	-0.0604	0.0466
Locus527	-0.0014	-0.0586	0.1167
Locus528	 0.2744	 0.1333	0.4641
Locus529	 0.0153	-0.0649	0.1406
Locus530	 0.0474	-0.0324	0.1647
Locus531	-0.0076	-0.0505	0.0517
Locus532	 0.0144	-0.0396	0.1564
Locus533	 0.0722	-0.0143	0.1718
Locus534	 0.0561	-0.0201	0.1699
Locus535	 0.0678	-0.0348	0.2361
Locus536	 0.0211	-0.0452	0.1209
Locus537	 0.0054	-0.0433	0.1164
Locus538	 0.0945	-0.0262	0.2519
Locus539	-0.0088	-0.0502	0.0502
Locus540	 0.0105	-0.0473	0.1242
Locus541	-0.0258	-0.0658	0.0333
Locus542	 0.0226	-0.0271	0.0915
Locus543	 0.0399	-0.0350	0.1638
Locus544	 0.1052	 0.0003	0.2582
Locus545	 0.0124	-0.0364	0.0835
Locus546	-0.0351	-0.0757	0.0274
Locus547	 0.0573	-0.0039	0.1393
Locus548	 0.1145	-0.0149	0.2995
Locus549	 0.0418	-0.0084	0.1078
Locus550	 0.0312	-0.0605	0.1283
Locus551	 0.0368	-0.0327	0.1417
Locus552	 0.0642	-0.0157	0.1568
Locus553	 0.2243	 0.1021	0.4007
Locus554	 0.0763	-0.0111	0.1867
Locus555	 0.0328	-0.0286	0.1271
Locus556	-0.0129	-0.0705	0.0578
Locus557	 0.0722	-0.0176	0.1777
Locus558	-0.0021	-0.0446	0.0670
Locus559	 0.0363	-0.0404	0.1497
Locus560	 0.0151	-0.0548	0.1234
Locus561	 0.1133	 0.0146	0.2735
Locus562	 0.0481	-0.0214	0.1918
Locus563	 0.0516	-0.0361	0.1664
Locus564	-0.0074	-0.0479	0.0495
Locus565	 0.0488	-0.0491	0.2074
Locus566	 0.0234	-0.0467	0.1052
Locus567	 0.0376	-0.0290	0.1632
Locus568	 0.0998	 0.0172	0.2099
Locus569	 0.0943	 0.0035	0.2227
Locus570	 0.0264	-0.0266	0.1137
Locus571	-0.0221	-0.0818	0.0730
Locus572	 0.0457	-0.0356	0.1384
Locus573	 0.0175	-0.0444	0.1052
Locus574	 0.1039	-0.0317	0.3311
Locus575	-0.0056	-0.0637	0.1187
Locus576	 0.0044	-0.0498	0.0738
Locus577	 0.0544	-0.0226	0.1728
Locus578	 0.0863	-0.0010	0.2043
Locus579	 0.0104	-0.0394	0.0899
Locus580	 0.0019	-0.0520	0.1131
Locus581	 0.0773	-0.0235	0.1816
Locus582	 0.0245	-0.0416	0.1174
Locus583	 0.0034	-0.0496	0.0956
Locus584	 0.1167	 0.0209	0.2337
Locus585	 0.0249	-0.0564	0.1653
Locus586	-0.0023	-0.0602	0.1167
Locus587	 0.1209	-0.0315	0.3445
Locus588	 0.0579	-0.0286	0.1795
Locus589	 0.0717	-0.0515	0.2029
Locus590	 0.1301	 0.0290	0.2758
Locus591	 0.0483	-0.0237	0.1585
Locus592	 0.0390	-0.0356	0.1260
Locus593	 0.0317	-0.0421	0.1230
Locus594	-0.0094	-0.0799	0.0893
Locus595	 0.0596	-0.0689	0.1973
Locus596	-0.0117	-0.0591	0.0727
Locus597	-0.0208	-0.0572	0.0337
Locus598	 0.0503	-0.0302	0.1477
Locus599	 0.0052	-0.0460	0.1010
Locus600	-0.0298	-0.0736	0.0489
Locus601	 0.0471	-0.0211	0.1728
Locus602	 0.1225	 0.0270	0.2427
Locus603	-0.0244	-0.0587	0.0231
Locus604	 0.0241	-0.0421	0.1321
Locus605	 0.0130	-0.0435	0.0881
Locus606	 0.1505	 0.0251	0.3228
Locus607	 0.1656	 0.0778	0.2538
Locus608	 0.0054	-0.0568	0.0993
Locus609	 0.0363	-0.0252	0.1327
Locus610	 0.0059	-0.0422	0.0817
Locus611	 0.0298	-0.0609	0.1449
Locus612	 0.0207	-0.0523	0.1237
Locus613	 0.0599	-0.0117	0.1667
Locus614	 0.0060	-0.0452	0.0887
Locus615	 0.0716	-0.0215	0.2141
Locus616	 0.0065	-0.0478	0.1027
Locus617	 0.0190	-0.0399	0.1139
Locus618	 0.3596	 0.2238	0.4939
Locus619	 0.1019	-0.0069	0.2180
Locus620	 0.0154	-0.0571	0.1050
Locus621	 0.0418	-0.0215	0.1392
Locus622	 0.0121	-0.0505	0.1285
Locus623	 0.0292	-0.0444	0.1482
