Pairwise 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984

gst

populations	actual	lower	upper
WBB2,  vs  WBOC,	0.0086	 0.0046	0.0128
WBB2,  vs  WBWC,	0.0091	 0.0063	0.0134
WBOC,  vs  WBWC,	0.0001	-0.0022	0.0022

Fst

populations	actual	lower	upper
PSHB2,  vs  PSHWT,	0.0694	 0.0477	0.0885
PSHB2,  vs  QBB2,	0.0227	 0.0040	0.0428
PSHB2,  vs  QBOC,	0.0714	 0.0508	0.0885
PSHB2,  vs  QBWC,	0.0723	 0.0506	0.0973
PSHB2,  vs  WBB2,	0.0238	 0.0007	0.0484
PSHB2,  vs  WBOC,	0.0694	 0.0429	0.1021
PSHB2,  vs  WBWC,	0.0753	 0.0570	0.1100
PSHWT,  vs  QBB2,	0.0730	 0.0610	0.0930
PSHWT,  vs  QBOC,	0.0037	-0.0152	0.0302
PSHWT,  vs  QBWC,	0.0039	-0.0109	0.0258
PSHWT,  vs  WBB2,	0.0997	 0.0712	0.1314
PSHWT,  vs  WBOC,	0.0097	-0.0080	0.0220
PSHWT,  vs  WBWC,	0.0070	-0.0113	0.0271
QBB2,  vs  QBOC,	0.0745	 0.0621	0.0849
QBB2,  vs  QBWC,	0.0735	 0.0586	0.0940
QBB2,  vs  WBB2,	0.0152	-0.0127	0.0419
QBB2,  vs  WBOC,	0.0720	 0.0434	0.1021
QBB2,  vs  WBWC,	0.0731	 0.0521	0.0919
QBOC,  vs  QBWC,	0.0034	-0.0130	0.0117
QBOC,  vs  WBB2,	0.1041	 0.0784	0.1347
QBOC,  vs  WBOC,	0.0080	-0.0105	0.0287
QBOC,  vs  WBWC,	0.0033	-0.0114	0.0173
QBWC,  vs  WBB2,	0.1054	 0.0909	0.1343
QBWC,  vs  WBOC,	0.0115	-0.0035	0.0408
QBWC,  vs  WBWC,	0.0036	-0.0087	0.0398
WBB2,  vs  WBOC,	0.1018	 0.0743	0.1328
WBB2,  vs  WBWC,	0.1035	 0.0776	0.1394
WBOC,  vs  WBWC,	0.0088	-0.0194	0.0324
